mukey,cokey,compname,comppct_r,majcompflag,taxclname,drainagecl,chkey,hzname,hzdept_r,hzdepb_r,sandtotal_r,silttotal_r,claytotal_r,om_r,dbthirdbar_r,awc_r,ph1to1h2o_r,cec7_r,ksat_r,fragvol_r
513979,27401122,Calvin,85,Yes,"Loamy-skeletal, mixed, active, mesic Typic Dystrudepts",Well drained,81839888,H1,0,13,29.1,53.4,17.5,6.6,1.3,0.13,5.3,14.0,28.0,21.0
513979,27401122,Calvin,85,Yes,"Loamy-skeletal, mixed, active, mesic Typic Dystrudepts",Well drained,81839889,H2,13,79,22.4,55.1,22.5,0.26,1.5,0.12,5.3,16.0,28.0,26.0
513979,27401122,Calvin,85,Yes,"Loamy-skeletal, mixed, active, mesic Typic Dystrudepts",Well drained,81839890,H3,79,119,22.4,55.1,22.5,0.18,1.5,0.08,5.3,13.0,28.0,43.0
513979,27401122,Calvin,85,Yes,"Loamy-skeletal, mixed, active, mesic Typic Dystrudepts",Well drained,81839891,Cr,119,130,,,,,,,,,9.0,
513981,27401124,Calvin,85,Yes,"Loamy-skeletal, mixed, active, mesic Typic Dystrudepts",Well drained,81839896,H3,79,119,22.4,55.1,22.5,0.18,1.5,0.08,5.3,13.0,28.0,43.0
513981,27401124,Calvin,85,Yes,"Loamy-skeletal, mixed, active, mesic Typic Dystrudepts",Well drained,81839897,Cr,119,130,,,,,,,,,9.0,
513981,27401124,Calvin,85,Yes,"Loamy-skeletal, mixed, active, mesic Typic Dystrudepts",Well drained,81839898,H1,0,13,29.1,53.4,17.5,6.6,1.3,0.13,5.3,14.0,28.0,21.0
513981,27401124,Calvin,85,Yes,"Loamy-skeletal, mixed, active, mesic Typic Dystrudepts",Well drained,81839899,H2,13,79,22.4,55.1,22.5,0.26,1.5,0.12,5.3,16.0,28.0,26.0
513983,27401125,Calvin,85,Yes,"Loamy-skeletal, mixed, active, mesic Typic Dystrudepts",Well drained,81839900,H1,0,13,29.1,53.4,17.5,6.6,1.3,0.13,5.3,14.0,28.0,21.0
513983,27401125,Calvin,85,Yes,"Loamy-skeletal, mixed, active, mesic Typic Dystrudepts",Well drained,81839901,H2,13,79,22.4,55.1,22.5,0.26,1.5,0.12,5.3,16.0,28.0,26.0
513983,27401125,Calvin,85,Yes,"Loamy-skeletal, mixed, active, mesic Typic Dystrudepts",Well drained,81839902,H3,79,119,22.4,55.1,22.5,0.18,1.5,0.08,5.3,13.0,28.0,43.0
513983,27401125,Calvin,85,Yes,"Loamy-skeletal, mixed, active, mesic Typic Dystrudepts",Well drained,81839903,Cr,119,130,,,,,,,,,9.0,
513985,27401166,Calvin,85,Yes,"Loamy-skeletal, mixed, active, mesic Typic Dystrudepts",Well drained,81840080,H1,0,13,29.1,53.4,17.5,6.6,1.3,0.13,5.3,14.0,28.0,21.0
513985,27401166,Calvin,85,Yes,"Loamy-skeletal, mixed, active, mesic Typic Dystrudepts",Well drained,81840081,H2,13,79,22.4,55.1,22.5,0.26,1.5,0.12,5.3,16.0,28.0,26.0
513985,27401166,Calvin,85,Yes,"Loamy-skeletal, mixed, active, mesic Typic Dystrudepts",Well drained,81840082,H3,79,119,22.4,55.1,22.5,0.18,1.5,0.08,5.3,13.0,28.0,43.0
513985,27401166,Calvin,85,Yes,"Loamy-skeletal, mixed, active, mesic Typic Dystrudepts",Well drained,81840083,Cr,119,130,,,,,,,,,9.0,
513997,27401132,Dekalb,85,Yes,"Loamy-skeletal, siliceous, active, mesic Typic Dystrudepts",Well drained,81839930,H1,0,20,44.3,40.7,15.0,3.0,1.35,0.1,5.1,10.2,92.0,34.0
513997,27401132,Dekalb,85,Yes,"Loamy-skeletal, siliceous, active, mesic Typic Dystrudepts",Well drained,81839931,H2,20,36,45.7,41.8,12.5,1.68,1.35,0.09,4.6,8.0,92.0,41.0
